time 	curr	srvc	payld	bdw	NoC	InPort	target_router
34574	258	14	2	2	1	E	0
34575	2	14	2	2	1	E	0
34571	0	24	8	13	3	W	0
34593	0	29	4	4	2	L	512
34595	256	29	4	4	2	W	512
34598	0	19	2	2	2	L	8192
34596	512	29	4	4	2	W	512
34613	512	14	2	2	1	L	0
34615	256	14	2	2	1	E	0
34616	0	14	2	2	1	E	0
34615	0	24	8	13	3	W	0
34637	0	29	4	4	2	L	1
34639	1	29	4	4	2	N	1
34557	0	14	2	87	1	S	0
34642	0	19	2	2	2	L	8192
34577	1	14	2	68	1	S	0
34656	1	14	2	2	1	L	0
34659	0	24	8	13	3	W	0
34681	0	29	4	4	2	L	257
34683	256	29	4	4	2	W	257
34686	0	19	2	2	2	L	8192
34685	257	29	4	4	2	N	257
34702	257	14	2	2	1	L	0
34704	1	14	2	2	1	E	0
34703	0	24	8	13	3	W	0
34725	0	29	4	4	2	L	0
34645	0	14	2	87	1	S	0
34730	0	19	2	2	2	L	8192
34742	0	14	2	2	1	L	0
34747	0	24	8	13	3	W	0
34769	0	29	4	4	2	L	2
34771	1	29	4	4	2	N	2
34733	0	14	2	43	1	S	0
34774	0	19	2	2	2	L	8192
34772	2	29	4	4	2	N	2
34789	2	14	2	2	1	L	0
34791	1	14	2	2	1	S	0
34791	0	24	8	13	3	W	0
34813	0	29	4	4	2	L	256
34815	256	29	4	4	2	W	256
34818	0	19	2	2	2	L	8192
34832	256	14	2	2	1	L	0
34834	0	14	2	2	1	E	0
34835	0	24	8	13	3	W	0
34857	0	29	4	4	2	L	513
34859	256	29	4	4	2	W	513
34777	0	14	2	87	1	S	0
34862	0	19	2	2	2	L	8192
34860	512	29	4	4	2	W	513
34862	513	29	4	4	2	N	513
34879	513	14	2	2	1	L	0
34881	257	14	2	2	1	E	0
34882	1	14	2	2	1	E	0
34879	0	24	8	13	3	W	0
34901	0	29	4	4	2	L	512
34903	256	29	4	4	2	W	512
34906	0	19	2	2	2	L	8192
34904	512	29	4	4	2	W	512
34921	512	14	2	2	1	L	0
34923	256	14	2	2	1	E	0
34924	0	14	2	2	1	E	0
34923	0	24	8	13	3	W	0
34945	0	29	4	4	2	L	258
34947	256	29	4	4	2	W	258
34865	0	14	2	87	1	S	0
34950	0	19	2	2	2	L	8192
34949	257	29	4	4	2	N	258
34950	258	29	4	4	2	N	258
34967	258	14	2	2	1	L	0
34969	2	14	2	2	1	E	0
34971	1	14	2	2	1	S	0
34967	0	24	8	13	3	W	0
34989	0	29	4	4	2	L	514
