time 	curr	srvc	payld	bdw	NoC	InPort	target_router
7867	0	31	2	2	1	E	0
7857	0	24	8	13	3	W	0
7879	0	29	4	4	2	L	513
7881	256	29	4	4	2	W	513
7837	0	14	2	49	1	S	0
7882	512	29	4	4	2	W	513
7884	0	29	4	4	2	L	512
7884	513	29	4	4	2	N	513
7889	0	19	2	2	2	L	8192
7887	256	29	4	4	2	W	512
7888	512	29	4	4	2	W	512
7901	513	14	2	2	1	L	0
7903	257	14	2	2	1	E	0
7904	1	14	2	2	1	E	0
7916	512	31	2	2	1	L	0
7907	0	24	8	13	3	W	0
7918	256	31	2	2	1	E	0
7919	0	31	2	2	1	E	0
7929	0	29	4	4	2	L	258
7931	256	29	4	4	2	W	258
7887	0	14	2	49	1	S	0
7934	0	19	2	2	2	L	8192
7933	257	29	4	4	2	N	258
7934	258	29	4	4	2	N	258
7937	0	19	2	2	2	L	8192
7951	258	14	2	2	1	L	0
7953	2	14	2	2	1	E	0
7955	1	14	2	2	1	S	0
7951	0	24	8	13	3	W	0
7973	0	29	4	4	2	L	514
7975	256	29	4	4	2	W	514
7937	0	14	2	43	1	S	0
7967	0	24	8	13	3	W	0
7976	512	29	4	4	2	W	514
7978	513	29	4	4	2	N	514
7979	514	29	4	4	2	N	514
7987	0	19	2	2	2	L	8192
7990	0	29	4	4	2	L	0
7981	0	14	2	15	1	S	0
7996	514	14	2	2	1	L	0
7995	0	29	4	4	2	L	256
7998	258	14	2	2	1	E	0
7999	2	14	2	2	1	E	0
7999	256	29	4	4	2	W	256
8001	1	14	2	2	1	S	0
8003	0	24	8	13	3	W	0
8024	0	31	2	2	1	L	0
8025	0	29	4	4	2	L	1
8027	1	29	4	4	2	N	1
8002	0	14	2	30	1	S	0
8030	0	19	2	2	2	L	8192
8032	256	31	2	2	1	L	0
8034	0	31	2	2	1	E	0
8033	0	29	4	4	2	L	512
8037	256	29	4	4	2	W	512
8038	512	29	4	4	2	W	512
8044	1	31	2	2	1	L	0
8047	0	24	8	13	3	W	0
8069	0	29	4	4	2	L	257
8071	512	31	2	2	1	L	0
8073	256	31	2	2	1	E	0
8071	256	29	4	4	2	W	257
8046	0	31	2	30	1	S	0
8074	0	19	2	2	2	L	8192
8073	257	29	4	4	2	N	257
8090	257	31	2	2	1	L	0
8092	1	31	2	2	1	E	0
8091	0	24	8	13	3	W	0
8113	0	29	4	4	2	L	2
8115	1	29	4	4	2	N	2
8074	0	31	2	46	1	E	0
8118	0	19	2	2	2	L	8192
8116	2	29	4	4	2	N	2
8133	2	31	2	2	1	L	0
8135	1	31	2	2	1	S	0
8135	0	24	8	13	3	W	0
8157	0	29	4	4	2	L	513
8159	256	29	4	4	2	W	513
8094	0	31	2	70	1	S	0
8162	0	19	2	2	2	L	8192
8160	512	29	4	4	2	W	513
8162	513	29	4	4	2	N	513
8165	0	29	4	4	2	L	0
8179	513	31	2	2	1	L	0
8181	257	31	2	2	1	E	0
8182	1	31	2	2	1	E	0
8179	0	24	8	13	3	W	0
8191	0	31	2	2	1	L	0
8201	0	29	4	4	2	L	258
8203	256	29	4	4	2	W	258
8165	0	31	2	43	1	S	0
8206	0	19	2	2	2	L	8192
8205	257	29	4	4	2	N	258
8206	258	29	4	4	2	N	258
8209	0	29	4	4	2	L	256
8213	256	29	4	4	2	W	256
8223	258	31	2	2	1	L	0
8225	2	31	2	2	1	E	0
8227	1	31	2	2	1	S	0
8223	0	24	8	13	3	W	0
8237	256	31	2	2	1	L	0
8239	0	31	2	2	1	E	0
8245	0	29	4	4	2	L	514
8247	256	29	4	4	2	W	514
8209	0	31	2	43	1	S	0
8248	512	29	4	4	2	W	514
8250	0	29	4	4	2	L	1
8250	513	29	4	4	2	N	514
8251	514	29	4	4	2	N	514
8253	1	29	4	4	2	N	1
8253	0	31	2	5	1	S	0
8255	0	29	4	4	2	L	512
8259	256	29	4	4	2	W	512
8260	0	29	4	4	2	L	257
8260	512	29	4	4	2	W	512
8265	0	19	2	2	2	L	8192
8265	256	29	4	4	2	W	257
8268	514	31	2	2	1	L	0
8267	257	29	4	4	2	N	257
8268	0	29	4	4	2	L	2
8270	258	31	2	2	1	E	0
8271	2	31	2	2	1	E	0
8273	1	31	2	2	1	S	0
8274	0	31	2	2	1	S	0
8275	1	29	4	4	2	N	2
8276	2	29	4	4	2	N	2
8281	1	31	2	2	1	L	0
8283	0	31	2	2	1	S	0
8284	512	31	2	2	1	L	0
8286	256	31	2	2	1	E	0
8287	0	31	2	2	1	E	0
8284	0	24	8	13	3	W	0
8295	257	31	2	2	1	L	0
8297	1	31	2	2	1	E	0
8304	2	31	2	2	1	L	0
8306	1	31	2	2	1	S	0
8306	0	29	4	4	2	L	0
8299	0	31	2	14	1	S	0
8311	0	29	4	4	2	L	256
8314	256	29	4	4	2	W	256
8314	0	31	2	6	1	S	0
8316	0	29	4	4	2	L	513
8320	256	29	4	4	2	W	513
8321	0	29	4	4	2	L	258
8321	512	29	4	4	2	W	513
8323	513	29	4	4	2	N	513
8327	0	31	2	2	1	L	0
8326	0	29	4	4	2	L	514
8326	256	29	4	4	2	W	258
8328	257	29	4	4	2	N	258
8329	258	29	4	4	2	N	258
8331	0	29	4	4	2	L	1
8332	256	29	4	4	2	W	514
8335	256	31	2	2	1	L	0
8333	512	29	4	4	2	W	514
8337	0	31	2	2	1	E	0
8335	513	29	4	4	2	N	514
8336	0	29	4	4	2	L	512
8336	514	29	4	4	2	N	514
8338	1	29	4	4	2	N	1
8341	0	29	4	4	2	L	257
8344	256	29	4	4	2	W	512
8345	512	29	4	4	2	W	512
8346	0	29	4	4	2	L	2
8351	0	19	2	2	2	L	8192
8351	513	31	2	2	1	L	0
8350	256	29	4	4	2	W	257
8353	257	31	2	2	1	E	0
8354	1	31	2	2	1	E	0
8352	257	29	4	4	2	N	257
8356	0	31	2	2	1	S	0
8357	258	31	2	2	1	L	0
8356	1	29	4	4	2	N	2
8359	2	31	2	2	1	E	0
8357	2	29	4	4	2	N	2
8361	1	31	2	2	1	S	0
8362	0	31	2	2	1	S	0
8364	514	31	2	2	1	L	0
8366	512	31	2	2	1	L	0
8366	1	31	2	2	1	L	0
8366	258	31	2	2	1	E	0
8367	2	31	2	2	1	E	0
8368	0	31	2	2	1	S	0
8368	256	31	2	2	1	E	0
8369	0	31	2	2	1	E	0
8369	1	31	2	2	1	S	0
8371	0	31	2	2	1	S	0
8380	257	31	2	2	1	L	0
8382	1	31	2	2	1	E	0
8385	2	31	2	2	1	L	0
8375	0	24	8	13	3	W	0
8387	1	31	2	2	1	S	0
8397	0	29	4	4	2	L	0
8402	0	29	4	4	2	L	256
8384	0	31	2	23	1	S	0
8405	256	29	4	4	2	W	256
8408	0	31	2	3	1	S	0
8407	0	29	4	4	2	L	513
8411	256	29	4	4	2	W	513
8412	0	29	4	4	2	L	258
8412	512	29	4	4	2	W	513
8414	513	29	4	4	2	N	513
8417	0	29	4	4	2	L	1
8417	256	29	4	4	2	W	258
8420	0	31	2	2	1	L	0
8419	257	29	4	4	2	N	258
8420	258	29	4	4	2	N	258
8423	0	2	2	2	1	L	0
8422	0	29	4	4	2	L	512
8423	1	29	4	4	2	N	1
8426	0	2	2	2	1	L	0
8428	256	31	2	2	1	L	0
8427	0	29	4	4	2	L	514
8430	0	31	2	2	1	E	0
8431	256	2	2	2	1	L	0
8429	256	29	4	4	2	W	512
8430	512	29	4	4	2	W	512
8434	0	2	2	2	1	E	0
8432	0	29	4	4	2	L	257
8434	256	2	2	2	1	L	0
8435	256	29	4	4	2	W	514
8438	0	2	2	2	1	E	0
8436	512	29	4	4	2	W	514
8437	0	29	4	4	2	L	2
8438	513	29	4	4	2	N	514
8439	514	29	4	4	2	N	514
8442	0	19	2	2	2	L	8192
8442	513	31	2	2	1	L	0
8441	256	29	4	4	2	W	257
8444	257	31	2	2	1	E	0
8445	0	19	2	2	2	L	8192
8445	1	31	2	2	1	E	0
8443	257	29	4	4	2	N	257
8447	0	31	2	2	1	S	0
8448	258	31	2	2	1	L	0
8447	1	29	4	4	2	N	2
8450	2	31	2	2	1	E	0
8448	2	29	4	4	2	N	2
8452	1	31	2	2	1	S	0
8453	512	31	2	2	1	L	0
8455	256	31	2	2	1	E	0
8456	0	31	2	2	1	E	0
8456	512	2	2	2	1	L	0
8456	1	31	2	2	1	L	0
8459	256	2	2	2	1	E	0
8459	512	2	2	2	1	L	0
8467	514	31	2	2	1	L	0
8469	258	31	2	2	1	E	0
8470	2	31	2	2	1	E	0
8476	257	31	2	2	1	L	0
8466	0	24	8	13	3	W	0
8478	1	31	2	2	1	E	0
8481	2	31	2	2	1	L	0
8488	0	29	4	4	2	L	0
8482	0	24	8	13	3	W	0
8504	0	29	2	2	2	L	0
8453	0	31	2	57	1	S	0
8508	0	29	2	2	2	L	0
8509	0	31	2	2	1	L	0
8472	1	31	2	39	1	S	0
8460	0	2	2	53	1	E	0
8463	256	2	2	51	1	E	0
8511	0	29	4	4	2	L	256
8516	0	19	2	2	2	L	8192
8514	256	29	4	4	2	W	256
8527	0	2	2	2	1	L	0
8535	256	31	2	2	1	L	0
8542	0	2	2	2	1	L	0
8533	0	24	8	13	3	W	0
8555	0	29	2	2	2	L	256
8557	256	29	2	2	2	W	256
8511	0	31	2	50	1	S	0
8559	0	29	2	2	2	L	256
8561	256	29	2	2	2	W	256
8514	0	2	2	50	1	E	0
8562	0	29	4	4	2	L	513
8565	256	29	4	4	2	W	513
8562	0	31	2	8	1	S	0
8566	512	29	4	4	2	W	513
8567	0	29	4	4	2	L	512
8568	513	29	4	4	2	N	513
8565	0	31	2	8	1	E	0
8572	0	19	2	2	2	L	8192
8571	256	29	4	4	2	W	512
8572	512	29	4	4	2	W	512
8575	0	29	4	4	2	L	258
8580	0	19	2	2	2	L	8192
8580	256	2	2	2	1	L	0
8581	256	29	4	4	2	W	258
8583	257	29	4	4	2	N	258
8584	258	29	4	4	2	N	258
8593	512	31	2	2	1	L	0
8595	256	2	2	2	1	L	0
8595	256	31	2	2	1	E	0
8590	0	24	8	13	3	W	0
8601	513	31	2	2	1	L	0
8603	257	31	2	2	1	E	0
8604	1	31	2	2	1	E	0
8612	0	29	4	4	2	L	0
8606	0	24	8	13	3	W	0
8617	258	31	2	2	1	L	0
8619	2	31	2	2	1	E	0
8628	0	29	2	2	2	L	512
8630	256	29	2	2	2	W	512
8631	512	29	2	2	2	W	512
8571	0	31	2	63	1	S	0
8632	0	29	2	2	2	L	0
8633	0	31	2	2	1	L	0
8512	1	31	2	123	1	S	0
8582	0	2	2	55	1	E	0
8636	0	31	2	2	1	L	0
8635	0	29	4	4	2	L	1
8640	0	29	2	2	2	L	512
8638	1	29	4	4	2	N	1
8635	0	31	2	8	1	S	0
